,AEW541,AEW541_IC_50,Nilotinib,Nilotinib_IC_50,17-AAG,17-AAG_IC_50,PHA-665752,PHA-665752_IC_50,Lapatinib,Lapatinib_IC_50,Nutlin-3,Nutlin-3_IC_50,AZD0530,AZD0530_IC_50,PF2341066,PF2341066_IC_50,L-685458,L-685458_IC_50,ZD-6474,ZD-6474_IC_50,Panobinostat,Panobinostat_IC_50,Sorafenib,Sorafenib_IC_50,Irinotecan,Irinotecan_IC_50,Topotecan,Topotecan_IC_50,LBW242,LBW242_IC_50,PD-0325901,PD-0325901_IC_50,PD-0332991,PD-0332991_IC_50,Paclitaxel,Paclitaxel_IC_50,AZD6244,AZD6244_IC_50,PLX4720,PLX4720_IC_50,RAF265,RAF265_IC_50,TAE684,TAE684_IC_50,TKI258,TKI258_IC_50,Erlotinib,Erlotinib_IC_50
IGROV1_OVARY,0.3161,8,0.4447,8,2.6076,0.491089851,0.05415,8,0.8646,8,0.2323,8,1.9254,0.761178851,0.1002,8,0,8,NA,NA,4.0604,0.095385171,0.8575,6.602256298,2.3182,0.793657839,3.0213,0.29051441,0.06797,8,1.8264,8,0.01444,8,3.7989,0.027501697,0.6622,8,NA,NA,1.889,8,0.568,8,0.8688,6.297246456,1.1493,8
NCIH211_LUNG,1.4213,1.58294487,0.9206,6.046969891,3.2255,0.125717342,0.3437,6.395418167,0.6736,8,0.1456,8,0.61,8,0.6209,4.108612537,0.6459,3.807246447,0.4266,8,5.3056,0.014001844,0.7736,8,3.8559,0.156739518,3.8351,0.170390353,1.6828,7.550951004,0.9559,8,0.7345,8,5.7354,0.008475381,0.6744,8,0.2859,8,1.3993,4.229259491,1.3403,2.398709774,1.1127,3.909843922,0.1121,8
SKMEL24_SKIN,1.1943,4.403829575,0.5484,6.903137207,3.5284,0.174343437,0.2063,8,0.3248,8,0.3876,8,0.514,8,0.3011,8,0,8,0.8517,4.028242111,3.9406,0.099703006,0.06075,8,2.8192,0.17700699,1.972,0.388914019,0.795,8,2.8012,0.080252647,0.1802,8,3.0234,0.102132171,2.0305,2.3126297,1.0325,5.15450716,1.1696,6.284200668,1.0744,4.193741798,0.339,8,0.1272,8
K029AX_SKIN,1.4618,4.483352184,0.6065,8,2.73,0.119215205,0.6852,7.850198746,0.6687,6.444432735,0.6093,8,0.04896,8,0.5345,7.655366898,0.003384,8,1.459,5.837676048,4.8894,0.045050137,0.5472,8,2.933,0.336584717,2.5552,0.670985878,0.2338,8,3.6445,0.080208279,0.4534,8,5.2658,0.002542614,2.493,0.459148288,1.433,2.110589266,2.2205,0.70665884,0.8642,5.298291683,0.7623,4.849993229,0.03277,8
HT1376_URINARY_TRACT,0.9099,8,0.2472,8,3.2082,0.365140706,0.4499,8,1.0678,7.084046364,0.6192,8,1.657,8,0.765,8,0.04978,8,1.6519,1.084273934,3.9747,0.101600125,0.3819,8,1.5047,2.700818062,0.1703,8,0.5259,8,1.0196,8,0.1599,8,3.9561,0.002542614,0.7726,8,0.5576,8,2.1599,1.756084442,1.6853,1.803628922,1.4078,3.825596571,1.4249,2.53105402
PANC1005_PANCREAS,1.0935,5.787849903,0.2589,8,3.2431,0.086982444,0.2858,8,0.6474,7.987658501,0.4299,8,1.4284,2.757964373,0.975,3.306294305,0,8,1.2371,8,4.0085,0.093791224,0.7027,2.948683799,3.5233,0.165120766,3.3451,0.205392376,0,8,3.0873,0.32165724,0.1536,8,5.4204,0.003355819,2.0182,8,0.1674,8,0.7633,4.709105968,0.773,5.897616863,0.408,8,0.5347,8
HS695T_SKIN,0.9336,6.037502289,0.1666,8,3.3577,0.095518604,0.2251,8,0.3009,8,0.4623,8,0.3278,8,0.4068,8,0.02135,8,0.5239,8,4.6716,0.037047084,0.09031,8,2.5234,0.372649074,2.2942,0.840216935,0.8372,8,2.3595,0.237993121,0.294,8,3.3945,0.09689749,1.5491,8,0.752,7.264561176,1.2493,8,0.9149,8,0.5711,8,0.0222,8
CHL1_SKIN,0.8222,7.182005882,0.3245,8,3.2799,0.165819794,0.5543,8,2.0464,0.675993323,0.28,8,1.1383,6.063434601,0.1746,8,0,8,1.3301,4.032824039,5.1254,0.018227296,0.6945,7.161293983,2.9906,0.265276551,2.8476,0.603086352,0.4602,8,0.8246,8,0.08206,8,5.8572,0.007160429,0.7278,8,0.3171,8,2.3918,0.267100275,1.4133,3.202846527,1.0597,2.610424995,1.207,3.04977107
LOUNH91_LUNG,0.3336,8,0.3538,8,2.6406,8,0.04844,8,0.1664,8,0.08353,8,0.8153,8,0.6149,8,0.1343,8,1.4031,8,3.4407,0.182381138,1.0337,8,3.9008,0.076675788,2.8967,0.466385007,0.9006,8,0.005301,8,0,8,6.1409,0.006858335,0.4429,8,1.1699,8,1.3319,8,1.7266,2.279930353,1.1322,8,1.0477,8
TOV21G_OVARY,0.4566,8,0.1506,8,3.9631,0.019315857,0.3605,8,0.5477,8,0.3815,8,1.6485,1.316256523,0.415,6.567055225,0.2344,8,0.9598,2.771682978,3.7608,0.048657212,1.0759,7.684823513,2.6233,0.345193356,2.732,0.221106261,0.9197,8,1.3425,8,0.1943,8,5.0367,0.003941573,1.2785,8,0.6667,3.959041595,3.3561,0.117165424,1.3244,2.459191084,1.7314,2.151443005,0.8857,6.919062614
ASPC1_PANCREAS,1.3966,1.427774787,0.2155,8,3.4197,0.072310209,0.2758,8,0.411,2.785627519,0.02477,8,0.6383,8,0.6001,5.588983536,0.1851,8,1.1518,2.987404346,4.1905,0.037931632,0.4228,8,2.2418,0.792062342,1.5994,2.35110116,0.4818,8,2.611,0.138186365,0,8,4.0922,0.016337322,2.1312,1.271577716,0.2848,8,1.5547,0.936409533,1.4991,1.224158168,0.5118,4.859763145,0.2484,8
OVSAHO_OVARY,0.4298,8,0.02441,8,1.3862,3.464982748,0,8,0.3303,8,0.1494,8,0.8493,8,0,8,0.1184,8,0.4626,8,3.2763,0.202749684,0.3679,8,1.8955,1.787026286,1.9364,3.248932123,0.4272,8,0.9977,8,0.0811,8,3.0491,8,0.7329,8,0.02867,8,0.7466,6.512304306,0.666,8,0.3697,8,0.1429,8
NCIH441_LUNG,1.1125,4.720984459,0.1257,8,2.8905,0.170633957,0.2391,8,0.4346,8,0.6243,8,0.7499,8,0.455,8,0.03189,8,0.8277,8,3.8005,0.121321343,0.2335,8,3.3047,0.199361607,2.5101,0.472572863,0.12,8,1.6923,8,0.5023,8,4.4553,0.013821052,1.6292,8,0.1424,8,0.9033,6.149358749,1.205,4.349505901,0.5299,8,0.3066,8
NCIH2030_LUNG,0.9753,5.780652523,0.3102,8,4.9167,0.04906629,0,8,1.2422,3.724179983,0.254,8,1.8416,1.831240416,0.4445,8,0.1499,8,1.7591,4.317485809,3.6894,0.14027597,0.5507,5.207033157,2.5802,0.539358318,4.0152,0.146490812,0.3874,8,2.026,8,0.1732,8,5.1832,0.028944699,1.0569,8,0.2542,8,2.3273,0.587612808,0.8499,6.806890011,0.973,4.161973,1.2982,6.153043747
HMCB_SKIN,1.1052,5.239208221,0.5979,7.181233406,4.5134,0.034340765,0.5584,8,1.053,4.767848015,0.1048,8,1.3243,8,0.4672,7.987290382,0.1614,8,1.6382,3.113918066,4.588,0.043176685,1.3145,7.296435833,3.5353,0.209313378,3.8274,0.227054164,0.4205,8,1.327,5.477803707,0.3092,8,6.5093,0.008362735,0.4484,8,0.4418,8,2.3833,0.214396611,1.707,1.607622266,1.8672,0.845837355,1.0646,3.607230186
FUOV1_OVARY,2.1301,1.314902544,0.4601,8,1.7438,0.373221964,0.2678,8,0.6817,8,0.3852,8,1.7494,8,0.2888,8,0.1524,8,1.3519,2.412901402,3.5401,0.040870681,0.6551,5.110904694,1.2757,0.313900679,0.7803,2.943581104,0.1906,8,2.2864,3.074702978,0.0499,8,4.3524,0.00867361,1.8458,8,0.1328,8,1.4192,3.839668036,1.5291,2.28670001,1.356,8,0.8677,8
MALME3M_SKIN,1.5363,2.855088949,1.1576,4.411684036,3.6466,0.090723187,0.269,8,0.5408,7.32541132,0.383,8,0.1187,8,0.5432,5.954421997,0,8,0.8149,7.205544472,4.7209,0.040825501,0.8727,7.791688919,2.1141,1.857961059,1.5046,4.586944103,0.9947,8,6.4385,0.004154827,0.4133,8,3.8672,0.017527899,4.9654,0.046187453,3.0335,0.285528094,2.8473,0.381781071,1.2676,8,1.2525,4.014651299,0.2374,8
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2.4135,5.433550026,1.1375,8,4.355,0.124920338,0.4828,8,0.7467,8,1.1578,8,0.2465,8,0.4616,8,1.3154,8,1.1307,8,6.804,0.003873861,0.3402,8,NA,NA,3.8314,0.268235147,0.2931,8,1.3436,8,2.4095,8,7.086,0.002641938,1.3018,8,0.4044,8,2.193,0.485123303,1.8171,1.805486321,1.2077,8,1.0481,8
T98G_CENTRAL_NERVOUS_SYSTEM,1.137,6.434046268,0.4823,8,2.537,0.155537844,0.05954,8,0.3194,8,0.5323,8,1.4143,4.363157749,0.238,8,0.02585,8,1.1189,6.392864227,2.8925,0.176887393,1.0637,8,0.8403,0.949372947,1.2564,3.345979929,0.2173,8,0.8449,8,0.4777,8,4.9955,0.005198572,0.8136,8,0.6113,8,1.4113,2.500907421,1.2075,2.536152601,1.8327,2.943219185,0.5313,8
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,0.868,8,0.3488,8,2.7457,0.276005715,1.0773,8,0.2992,8,0.8056,8,1.475,8,0.468,8,0,8,0.6038,8,3.7393,0.139800549,0.7186,5.066503525,3.4461,0.085044153,3.2015,0.365084618,0.4507,8,2.9241,8,0.3863,8,5.3756,0.021760648,3.1418,0.329752356,1.8659,2.652912855,2.5702,0.286468297,1.4749,3.781657457,0.6195,8,0.3955,8
HEYA8_OVARY,0.5856,8,0.403,8,3.8485,0.08386872,0,8,0.0632,8,0.1962,8,0.596,8,0.7314,5.352530003,0.06468,8,NA,NA,4.431,0.059588835,0.6201,7.243388653,3.4329,0.16702649,3.8241,0.06718149,0.04267,8,2.2657,0.636340976,0.4718,8,5.1752,0.011858939,0.9399,7.457576275,NA,NA,2.2513,0.317133546,0.8663,4.445700169,0.8956,4.591032982,0.2561,8
NCIH2122_LUNG,1.71,0.136573295,0.5732,7.855627537,4.996,0.026409486,0.7922,8,1.0545,2.934415817,0.3708,4.599129598,0.8178,3.376755238,0.618,3.988648415,0.3496,8,0.8166,8,4.8641,0.030371366,0.4757,7.538781166,3.6813,0.089756981,4.4313,0.054307785,0.9173,8,4.4466,0.035555024,1.274,8,6.6492,0.003066643,3.0327,0.625899553,0.8008,8,2.0903,0.468769699,1.8716,1.284851313,1.0366,3.678296328,0.8959,5.234381199
SW620_LARGE_INTESTINE,1.4577,1.773543596,0.1627,8,4.962,0.03864982,0,8,0,8,0.4372,8,0.09312,8,1.122,3.128878593,0,8,1.2619,8,4.822,0.032865684,0.4125,8,3.6838,0.099334568,3.5414,0.110754557,0.06866,8,4.7172,0.00991583,0.7942,8,6.0438,0.002583542,3.5274,0.058131345,0.09719,8,1.2912,3.33095336,1.9704,0.981493473,1.0755,3.311057091,0,8
HCT116_LARGE_INTESTINE,0.5664,8,0.2101,8,3.4601,0.202989653,0.6267,8,0.3587,8,0.5542,8,0.2996,8,0.678,7.049741268,0.05555,8,0.3113,8,4.9122,0.040369619,0.8268,6.208874226,3.3454,0.276744455,3.2013,0.201158181,0.1936,8,3.6651,0.202401146,0.1507,8,6.4469,0.004276503,1.9489,0.518957612,0.171,8,2.0303,1.833464026,1.092,4.750010014,0.6307,7.125739098,0.2184,8
VMRCRCZ_KIDNEY,1.31,7.681400776,0.0939,8,2.3024,0.852490127,0.1233,8,0.532,8,0.3594,8,1.8178,8,0.6149,8,0.7546,8,1.3906,6.394828796,3.8161,0.065577567,0.8126,8,1.3083,1.191046834,2.0667,1.83332324,0.3024,8,1.8358,8,0.6809,8,3.9578,0.087297022,1.3659,8,0.4771,8,1.7293,5.138931751,1.457,2.984285355,1.1723,7.115457058,0.9017,8
DU145_PROSTATE,0.9597,6.68214941,0.07206,8,4.4163,0.044969238,0.2331,8,0.7691,8,0.02354,8,1.391,3.451913357,0.6584,7.105298996,0.08201,8,1.5505,2.646766186,4.9332,0.024278019,0.3253,8,3.5571,0.198496774,2.9817,0.410396844,0.2907,8,1.3267,8,0.05875,8,6.0946,0.00808272,0.864,8,0.2992,8,2.4128,0.306863368,1.4144,2.689102173,1.2529,2.803456783,0.9805,5.400847912
L33_PANCREAS,1.0032,8,0.4161,8,3.2074,0.157320872,0.04629,8,1.7718,2.124577284,0.3145,8,0.3391,8,0.4875,8,0.1434,8,1.1217,8,4.3554,0.065592676,0.4845,8,4.4701,0.07414142,3.5181,0.254557401,0.3253,8,1.5302,8,0.1368,8,6.4953,0.005354926,1.3015,8,0.3614,8,2.1702,1.904193521,0.8375,8,0.8761,8,1.0717,4.269798279
SKMEL2_SKIN,0.2356,8,0.7005,8,2.0922,8,0.5486,8,0.9673,8,2.1103,8,0.1274,8,0.4815,8,0.4891,8,0.04064,8,4.9024,0.03325266,0.8119,8,2.7765,0.855546892,1.1798,0.269802178,1.3409,8,3.0417,0.233818457,0.442,8,3.657,0.026818315,1.7595,2.413272142,0.4425,2.531646013,1.6529,3.493094444,0.8386,8,0.6534,8,0.09419,8
A549_LUNG,1.6406,1.954786897,0.6661,6.0388937,2.9712,0.06676174,0.08954,8,0.6707,4.227246284,0.4832,8,0.4962,8,0.4691,5.782162189,0,8,0.4353,8,3.6981,0.04864376,0.6549,6.775072098,1.7063,0.412400216,1.8717,0.938382328,0.2759,8,3.1106,0.171543315,0.2405,8,4.9753,0.004999789,1.8637,2.122098207,0,8,1.4266,0.99483645,1.3264,1.637758732,1.2616,3.827242613,0.4884,8
A172_CENTRAL_NERVOUS_SYSTEM,0.3615,8,0,8,2.4662,0.267498583,0.08666,8,0,8,0.2102,8,0.2508,8,0.4959,8,0.03331,8,1.0122,8,4.0075,0.101367839,0.2818,8,2.5153,0.508602798,2.649,0.282938868,0.09733,8,0.5436,8,0,8,4.6157,0.030916,0.2375,8,0.01494,8,1.3704,3.651217461,1.4006,2.530820608,1.1598,4.534608364,0.08293,8
NCIH1975_LUNG,1.0222,8,0.07336,8,3.3781,0.055695072,0.1393,8,0.3094,8,0.1706,8,0.5187,8,0.2606,8,0.2325,7.971967697,0.2174,8,3.3759,0.084974937,0.1468,8,1.7151,0.853643298,1.6636,1.463482499,0.2285,8,1.2184,3.859478712,0,8,5.9467,0.00264905,0.4696,8,0.06596,8,1.6132,1.421275377,1.3584,2.905841351,0.7472,6.715387821,0.4621,8
COLO679_SKIN,0.9348,8,0.5391,7.357892513,3.984,0.062656693,0.486,7.286690712,0,8,0.6993,6.98195076,0.1354,8,0.4152,8,0.3375,8,0.311,8,4.6206,0.029574396,0.4606,8,2.1461,0.5789662,2.2206,1.032151341,0.1373,8,4.7338,0.012509198,0.4765,8,4.5201,0.008852645,3.3142,0.123343363,2.2166,0.554165304,2.4244,0.66438055,0.853,8,0.6854,8,0.4867,8
KP2_PANCREAS,1.5709,6.969734669,0.2871,8,2.7758,0.038178917,0,8,0.2996,8,0.338,8,0.3689,8,0.393,5.20879364,0,8,NA,NA,3.2117,0.085353024,0.2155,8,1.234,1.598707199,1.099,1.456149459,0.04091,8,3.2738,0.033684015,0.03334,8,4.8529,0.009652367,2.2262,0.411830425,NA,NA,0.894,4.278925419,1.6607,1.301458359,0.6834,8,0.1607,8
HUH1_LIVER,1.4368,1.66758883,0.2987,8,2.7021,0.033526562,0.1365,8,0.3326,8,0.1682,8,0.5394,8,0.4129,3.696080329,0,8,0.3792,6.489634514,3.2468,0.070000745,0.1994,8,2.3966,0.326290578,2.5865,0.497032493,0.04504,8,0.2633,2.671397686,0.559,8,4.4053,0.028643915,0.1214,8,0.09978,8,1.0498,1.040796995,1.3823,1.724883199,0.9419,2.185251713,0.4804,8
MDAMB453_BREAST,1.1017,4.530221939,0.3012,8,5.5367,0.015530476,0.04652,8,1.582,1.437899709,0,8,0.1335,8,0.2967,8,0.1205,8,0.6659,8,5.7776,0.010588877,0.8147,4.255000591,3.9137,0.111045882,3.126,0.217682108,0.3383,8,0.9213,2.751912594,0.2768,8,5.5396,0.002542614,0,8,0.1361,8,1.3141,2.731821299,1.0628,0.274789904,0.5439,7.292513847,0.1473,8
OV90_OVARY,0.8462,5.757698536,0.6314,6.70353508,4.5708,0.018589249,0.07258,8,0.3964,8,0.09546,8,0.2935,8,0.5705,8,0,8,0.4307,8,4.7692,0.029783206,0.4936,7.591075897,2.8504,0.226904228,2.9714,0.224122435,0.727,8,4.0762,0.022402048,0.072,8,3.4582,0.011053084,3.4602,0.144641533,0.1413,8,1.9905,1.341343045,2.2049,1.618599892,0.482,8,0,8
OVTOKO_OVARY,0.508,8,0.1559,8,2.0471,0.805820227,0.2041,8,0.8776,8,0.5722,8,1.9162,1.413676023,0.3415,8,0.301,8,NA,NA,4.7984,0.148051813,0.7373,8,2.6997,0.282552302,3.5208,0.266293198,0.1956,8,0.5565,8,0.1509,8,2.0493,8,0.3445,8,NA,NA,2.134,2.080970526,0.7926,7.678687096,0.6268,8,0.8693,8
OVCAR4_OVARY,0.3216,8,0.2542,8,2.2591,0.459155321,0.01486,8,0.4367,8,0.3606,8,0.4466,8,0.1563,8,0.0583,8,0.2029,8,3.9406,0.100434728,0.6127,5.216080189,1.8003,1.580782056,2.9929,0.22894901,2.0923,0.652646363,0.8609,8,0.1033,8,4.5514,0.008228295,0,8,0,8,1.3031,3.775214434,1.1837,4.098715305,0.4459,8,0.3913,8
HLF_LIVER,0.8423,7.483052254,0.1366,8,3.5942,0.233836412,0.1807,8,0.3719,8,0.5281,8,1.5,8,0.4126,8,0,8,1.2425,8,4.42,0.101539269,0.5575,8,3.7736,0.261088133,3.7109,0.392792702,0.7126,8,0.8906,8,0.04018,8,4.855,0.088366963,1.1747,8,0.5801,8,1.3733,6.235446453,0.8174,5.347187996,1.3732,3.819196224,0.5841,8
HCT15_LARGE_INTESTINE,1.1814,4.63055563,0.6787,6.496217728,2.6346,0.592416525,0.2077,8,1.0195,4.666832924,0.02414,8,0.9084,5.243636608,0.3213,8,0.01443,8,0.2839,8,3.1759,0.224284306,1.1377,7.161734104,2.7435,0.26266107,2.7169,0.402517259,1.1051,8,1.4088,8,0.2188,8,3.1674,0.284276396,0.6149,8,0.1654,8,2.4916,0.599751115,0.9206,5.418049335,1.1809,4.28063488,0.4596,8
SF295_CENTRAL_NERVOUS_SYSTEM,0.9258,8,0.2989,8,3.2674,0.171886235,0.4697,8,0.4123,8,0.2025,8,0.4257,8,0.8342,4.456161499,0.05788,8,0.1916,8,3.2886,0.106901482,0.2399,8,2.844,0.196908399,3.0484,0.350752532,0.2531,8,0.6552,8,0.1626,8,4.5241,0.03881523,0.466,8,0.2133,8,1.337,2.269133568,1.0372,4.876365185,0.9636,6.2114501,0.1438,8
WM115_SKIN,0.1716,8,NA,NA,3.7538,0.047518171,0.3838,8,0.1087,8,0.1188,8,0.04944,8,0,8,0.255,8,0.8184,8,3.3891,0.17020461,0.3239,8,NA,NA,0.8829,8,1.8514,5.472252369,2.0602,0.555520535,NA,NA,3.5617,0.077774294,1.5979,8,0.691,8,0.5653,2.809600731,0.07927,8,0.2933,8,0.1035,8
JHH4_LIVER,0.6781,7.419638634,0.5288,8,0.8741,8,0.6874,8,0.9322,8,0.4071,8,1.0493,8,0.4427,8,0.003237,8,1.4705,3.273228645,4.399,0.071097493,0.7286,8,3.466,0.277152896,4.2614,0.113978796,1.1443,8,1.2402,2.750053167,0.1503,8,4.1514,0.110504739,0.9964,8,0.7605,4.928554535,0.9857,8,0.4165,8,0.1252,8,0.4773,8
OE33_OESOPHAGUS,0.887,5.732457638,0.1666,8,4.7147,0.058549874,0.7694,8,1.3948,3.538352251,0.1788,8,1.5313,2.744313717,2.6605,0.894824922,0.1213,8,1.2065,8,4.8403,0.035405684,0.2001,8,4.2414,0.10038691,3.252,0.178223893,1.6295,8,1.8762,1.207887888,0.9013,8,4.8996,0.002542614,0.9345,8,0.4093,8,1.5374,1.985962749,1.8779,2.604136705,0.2963,8,0.842,6.558083057
CCK81_LARGE_INTESTINE,0.7503,2.329223689,NA,NA,3.4189,0.263275087,0.7094,8,2.3087,0.240194838,0.5473,8,1.8014,0.676471174,0.3273,8,0,8,2.3861,0.763310015,4.7212,0.038146086,0.1157,8,NA,NA,2.4283,0.315985888,0.7254,8,2.5956,0.719762087,NA,NA,3.4061,0.274032772,2.0146,8,0.2626,8,0.7362,8,1.8427,2.169864178,0.6354,8,1.8156,0.684667587
SJSA1_BONE,1.5288,4.113285542,NA,NA,3.2033,0.312380582,0.5401,8,0.3625,8,1.339,6.456521988,1.3996,8,0.6386,5.97356987,0.2222,8,0.984,8,4.1913,0.116657168,0.9267,8,NA,NA,3.5615,0.196286261,0.6123,8,1.746,8,0.6593,8,5.3659,0.016656112,0.833,8,0,8,1.1671,3.515434504,1.2566,8,0.5718,8,0.4775,8
NCIH2228_LUNG,0.7983,8,0.2487,8,2.7224,0.113416389,0.02345,8,0.3527,8,0.4886,8,0.9192,8,1.8879,1.600181341,0.003449,8,0.7584,8,4.2462,0.067522921,0.5604,8,3.0723,0.194996953,2.8877,0.347262293,0.3097,8,1.5899,3.938598871,0.2845,8,5.1908,0.002949517,0.4632,8,0.1109,8,1.6848,1.803573489,4.0317,0.041489352,1.0651,6.128799438,0.8593,8
RERFLCAI_LUNG,0.675,7.204105377,0.3106,8,4.175,0.101998895,0.002634,8,0.306,8,0.2795,8,0,8,0.498,8,0.3502,8,0.4954,8,4.4865,0.05961905,0.03211,8,2.9952,0.200938895,2.7835,0.361096591,0.3965,8,1.1637,8,0.1348,8,6.7642,0.003108381,1.0537,8,0.1812,8,1.7063,8,0.873,6.855476379,1.0698,4.345899105,0.2999,8
SKMES1_LUNG,1.921,1.964178443,NA,NA,4.0054,0.026852531,1.9638,1.323563607,2.0259,1.476444125,1.4989,8,2.5709,1.335319281,1.3051,4.934690952,NA,NA,2.0888,1.429464579,4.3314,0.074044675,0.5808,8,NA,NA,3.7728,0.099159241,2.5655,3.329725742,2.3037,0.864690185,NA,NA,4.9906,0.019149521,0.8823,8,1.0515,6.108966351,NA,NA,2.4285,1.970706701,1.6466,1.840377569,2.3791,0.96515131
