Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
AC083843.1	ENSG00000259820.1	0.940	3.940	-1.348	2.95e-92
AC090616.2	ENSG00000214708.4	1.070	3.970	-1.264	1.01e-35
AC093110.3	ENSG00000238018.2	0.750	12.910	-2.991	8.68e-290
AC093495.4	ENSG00000228242.6	2.030	8.620	-1.667	2.06e-125
AC093838.4	ENSG00000152117.17	6.130	15.330	-1.196	4.75e-56
AC093850.2	ENSG00000230838.1	1.680	0.130	1.246	2.61e-81
AC104654.2	ENSG00000234362.5	0.290	1.630	-1.028	3.44e-108
AC108488.4	ENSG00000242282.6	2.500	6.970	-1.187	2.01e-108
AC109642.1	ENSG00000235997.2	0.700	4.200	-1.613	1.28e-104
AC112229.1	ENSG00000230650.1	1.630	0.310	1.006	9.02e-62
AC114730.11	ENSG00000235351.1	0.380	2.170	-1.200	7.00e-82
AC116366.6	ENSG00000234290.2	0.570	3.210	-1.423	1.36e-143
AC124789.1	ENSG00000276170.4	0.670	4.620	-1.751	2.93e-95
AC129492.1	ENSG00000279152.1	0.160	1.440	-1.073	7.76e-59
AC132008.1	ENSG00000213519.2	0.000	1.180	-1.124	2.01e-87
AC132217.4	ENSG00000240801.1	4.460	11.550	-1.201	1.48e-9
AC138035.2	ENSG00000238035.8	3.710	17.920	-2.006	1.09e-96
AC144831.1	ENSG00000261888.1	0.470	2.760	-1.355	2.59e-172
AC145124.2	ENSG00000255495.1	0.970	3.090	-1.054	2.79e-94
AC145343.2	ENSG00000265055.1	2.000	0.310	1.195	5.56e-105
AC147651.4	ENSG00000237181.1	1.380	4.690	-1.257	9.12e-101
AC156455.1	ENSG00000256546.1	0.570	2.420	-1.123	2.76e-45
AC159540.1	ENSG00000230606.10	11.150	24.570	-1.074	1.10e-23
AC239868.2	ENSG00000280874.1	31.979	9.840	1.605	1.10e-27
AC239868.3	ENSG00000281134.1	31.979	10.130	1.567	1.03e-27
ACACB	ENSG00000076555.15	2.350	11.720	-1.925	4.68e-163
ACAD11	ENSG00000240303.7	4.840	19.251	-1.794	3.12e-143
ACADL	ENSG00000115361.7	0.770	11.280	-2.794	1.55e-166
ACADVL	ENSG00000072778.19	217.911	664.948	-1.605	4.78e-79
ACAP1	ENSG00000072818.11	9.780	29.290	-1.490	9.66e-64
ACAP3	ENSG00000131584.18	15.980	47.871	-1.525	1.57e-54
ACCS	ENSG00000110455.13	9.400	29.800	-1.566	3.68e-67
ACE	ENSG00000159640.14	16.939	41.240	-1.235	6.49e-57
ACKR1	ENSG00000213088.9	7.180	82.441	-3.351	5.52e-153
ACKR3	ENSG00000144476.5	9.990	21.869	-1.057	4.27e-31
ACKR4	ENSG00000129048.6	0.790	4.660	-1.661	4.63e-114
ACOXL	ENSG00000153093.18	1.340	4.510	-1.236	1.18e-33
ACR	ENSG00000100312.10	0.200	2.420	-1.511	2.67e-153
ACRBP	ENSG00000111644.7	1.640	5.760	-1.356	1.95e-99
ACRC	ENSG00000147174.11	0.560	2.670	-1.234	1.91e-83
ACSL1	ENSG00000151726.13	43.209	155.125	-1.820	7.06e-118
ACSM5	ENSG00000183549.10	0.470	2.120	-1.086	1.63e-91
ACSS2	ENSG00000131069.19	30.610	70.000	-1.167	1.46e-73
ACSS3	ENSG00000111058.7	2.120	8.460	-1.600	4.14e-96
ACTA1	ENSG00000143632.14	0.080	4.360	-2.311	5.29e-128
ACTA2	ENSG00000107796.12	186.366	580.478	-1.634	4.00e-76
ACTA2-AS1	ENSG00000180139.11	0.900	9.350	-2.446	3.15e-127
ACTC1	ENSG00000159251.6	0.060	1.270	-1.099	8.31e-90
ACTG2	ENSG00000163017.13	9.660	85.318	-3.017	7.46e-139
ACTN2	ENSG00000077522.12	0.190	5.750	-2.504	6.99e-221
ACVRL1	ENSG00000139567.12	9.620	106.447	-3.339	2.32e-291
ACY3	ENSG00000132744.7	2.110	0.230	1.338	4.44e-101
ADAM12	ENSG00000148848.14	2.760	0.780	1.079	1.57e-45
ADAM33	ENSG00000149451.17	0.610	20.859	-3.763	1.16e-209
ADAMDEC1	ENSG00000134028.14	4.190	0.640	1.662	1.04e-65
ADAMTS1	ENSG00000154734.14	6.780	84.348	-3.456	5.90e-201
ADAMTS10	ENSG00000142303.13	3.660	26.690	-2.571	3.34e-117
ADAMTS15	ENSG00000166106.3	0.660	6.150	-2.107	1.40e-170
ADAMTS2	ENSG00000087116.13	5.090	28.291	-2.266	6.40e-104
ADAMTS4	ENSG00000158859.9	2.480	13.470	-2.056	1.91e-67
ADAMTS7	ENSG00000136378.14	2.270	5.580	-1.009	1.24e-55
ADAMTS7P3	ENSG00000261143.1	0.070	18.210	-4.166	9.27e-224
ADAMTS8	ENSG00000134917.9	0.840	41.570	-4.532	3.08e-287
ADAMTS9	ENSG00000163638.13	3.470	20.189	-2.245	1.77e-125
ADAMTS9-AS1	ENSG00000241158.5	0.290	5.250	-2.276	5.92e-234
ADAMTS9-AS2	ENSG00000241684.5	0.310	2.260	-1.315	1.70e-144
ADAMTSL2	ENSG00000197859.9	4.940	20.920	-1.884	3.85e-113
ADAMTSL3	ENSG00000156218.12	0.750	7.280	-2.242	2.49e-217
ADAMTSL4	ENSG00000143382.13	9.460	70.331	-2.770	1.71e-190
ADARB1	ENSG00000197381.15	4.970	34.551	-2.574	1.39e-235
ADAT2	ENSG00000189007.15	3.050	9.590	-1.387	7.14e-88
ADCY10P1	ENSG00000161912.17	0.430	2.470	-1.279	2.32e-91
ADCY3	ENSG00000138031.14	20.300	51.172	-1.292	6.44e-88
ADCY4	ENSG00000129467.13	3.550	57.719	-3.690	2.80e-248
ADCY5	ENSG00000173175.14	0.860	4.510	-1.567	6.15e-69
ADCY9	ENSG00000162104.9	6.400	14.540	-1.070	3.47e-66
ADD1	ENSG00000087274.16	83.049	176.986	-1.082	9.23e-109
ADGRA2	ENSG00000020181.17	5.870	14.710	-1.193	1.27e-76
ADGRB3	ENSG00000135298.13	0.110	1.500	-1.171	8.67e-187
ADGRD1	ENSG00000111452.12	8.670	42.721	-2.177	1.91e-109
ADGRE1	ENSG00000174837.14	0.530	2.120	-1.028	3.55e-58
ADGRE2	ENSG00000127507.17	2.540	6.350	-1.054	9.92e-46
ADGRE4P	ENSG00000268758.5	0.290	2.080	-1.256	6.59e-115
ADGRF1	ENSG00000153292.15	14.930	2.950	2.012	2.30e-33
ADGRF5	ENSG00000069122.18	32.280	93.532	-1.506	1.53e-52
ADGRG3	ENSG00000182885.16	0.580	15.480	-3.383	1.51e-169
ADGRL2	ENSG00000117114.19	9.530	80.398	-2.951	2.95e-208
ADGRL4	ENSG00000162618.12	6.540	20.090	-1.484	2.39e-130
ADH1B	ENSG00000196616.12	9.680	354.513	-5.057	1.83e-201
ADHFE1	ENSG00000147576.15	2.610	17.289	-2.341	3.28e-133
ADIPOR2	ENSG00000006831.9	21.980	45.610	-1.020	7.65e-79
ADIRF	ENSG00000148671.13	38.950	247.005	-2.634	2.88e-110
ADIRF-AS1	ENSG00000272734.1	1.870	15.610	-2.533	7.89e-153
ADM	ENSG00000148926.9	12.530	83.522	-2.643	1.75e-88
ADM2	ENSG00000128165.8	3.720	0.540	1.616	1.97e-118
ADM5	ENSG00000224420.3	0.660	3.050	-1.287	4.00e-106
ADORA2A	ENSG00000128271.19	4.440	10.960	-1.137	4.12e-96
ADORA2B	ENSG00000170425.3	6.810	2.830	1.028	4.20e-62
ADRA1A	ENSG00000120907.17	0.040	4.000	-2.265	1.53e-227
ADRA1B	ENSG00000170214.3	0.630	3.050	-1.313	1.22e-72
ADRA1D	ENSG00000171873.7	0.110	2.010	-1.439	6.63e-187
ADRA2C	ENSG00000184160.7	0.500	3.270	-1.509	8.25e-101
ADRB1	ENSG00000043591.5	0.670	10.990	-2.844	1.63e-206
ADRB2	ENSG00000169252.5	1.370	9.440	-2.139	1.19e-189
ADTRP	ENSG00000111863.12	2.010	5.690	-1.152	6.09e-50
AEBP1	ENSG00000106624.8	104.451	224.612	-1.097	9.52e-29
AF011889.2	ENSG00000238039.1	0.450	2.000	-1.049	9.08e-63
AF064858.8	ENSG00000235888.1	0.180	1.740	-1.215	4.23e-134
AF131215.2	ENSG00000255310.2	0.540	2.950	-1.359	5.17e-166
AF131215.9	ENSG00000269918.1	0.410	2.820	-1.438	3.25e-171
AFAP1-AS1	ENSG00000272620.1	9.710	0.090	3.297	5.96e-114
AFAP1L1	ENSG00000157510.13	3.210	16.660	-2.069	3.91e-193
AFF2	ENSG00000155966.13	0.170	1.780	-1.249	5.44e-98
AFF3	ENSG00000144218.18	0.650	7.190	-2.311	1.62e-178
AFG3L1P	ENSG00000223959.8	8.220	21.190	-1.267	8.08e-72
AGA	ENSG00000038002.8	23.020	10.530	1.059	1.26e-89
AGAP11	ENSG00000271880.1	0.240	4.060	-2.029	7.16e-196
AGAP3	ENSG00000133612.18	47.261	107.664	-1.171	7.75e-92
AGAP4	ENSG00000188234.13	4.940	13.390	-1.277	2.01e-68
AGAP5	ENSG00000172650.12	2.610	6.450	-1.045	3.50e-49
AGAP6	ENSG00000204149.9	6.260	21.869	-1.655	1.20e-87
AGAP9	ENSG00000204172.11	3.960	11.420	-1.324	3.09e-55
AGER	ENSG00000204305.13	17.560	748.884	-5.336	1.64e-191
AGPAT4	ENSG00000026652.13	1.450	7.000	-1.707	2.08e-188
AGR2	ENSG00000106541.11	389.532	31.939	3.568	4.25e-116
AGRP	ENSG00000159723.4	0.270	1.960	-1.221	9.10e-90
AGTPBP1	ENSG00000135049.15	4.570	14.430	-1.470	1.57e-186
AGTR1	ENSG00000144891.17	0.610	10.090	-2.784	9.21e-225
AHI1	ENSG00000135541.20	6.760	15.260	-1.067	1.05e-73
AHNAK	ENSG00000124942.13	40.430	159.697	-1.956	1.85e-124
AHNAK2	ENSG00000185567.6	18.360	4.780	1.744	4.86e-48
AHSA2	ENSG00000173209.22	18.270	78.351	-2.042	1.29e-78
AK4	ENSG00000162433.14	7.380	1.840	1.561	3.91e-53
AKAP12	ENSG00000131016.16	3.920	31.701	-2.733	1.63e-125
AKAP13	ENSG00000170776.19	34.871	94.982	-1.420	6.61e-109
AKAP17A	ENSG00000197976.10	17.530	53.649	-1.560	2.90e-86
AKAP2	ENSG00000241978.9	15.840	69.791	-2.072	8.36e-154
AKAP8L	ENSG00000011243.17	29.050	85.882	-1.532	1.12e-91
AKNA	ENSG00000106948.16	15.370	36.569	-1.199	3.05e-89
AKT3	ENSG00000117020.16	3.590	16.230	-1.908	6.13e-144
AL157871.2	ENSG00000259052.1	0.000	1.460	-1.299	8.74e-32
AL158801.1	ENSG00000279392.1	4.960	0.590	1.906	5.89e-140
AL162151.3	ENSG00000234648.1	92.590	228.713	-1.295	3.55e-11
AL442127.1	ENSG00000278371.2	0.000	12.330	-3.737	1.10e-39
AL450992.2	ENSG00000234614.1	4.660	1.170	1.383	9.43e-98
ALAS2	ENSG00000158578.18	0.060	1.370	-1.161	4.19e-93
ALB	ENSG00000163631.16	0.210	1.530	-1.064	8.83e-14
ALDH18A1	ENSG00000059573.8	37.749	12.460	1.526	1.17e-171
ALDH1A1	ENSG00000165092.12	31.449	117.579	-1.870	8.23e-52
ALDH1A2	ENSG00000128918.14	1.460	6.720	-1.650	2.20e-53
ALDH3B2	ENSG00000132746.14	2.990	0.420	1.490	2.41e-82
ALG1L	ENSG00000189366.9	11.770	0.570	3.024	2.34e-138
ALOX15B	ENSG00000179593.15	13.010	32.010	-1.236	2.06e-4
ALOX5	ENSG00000012779.10	23.640	145.592	-2.573	1.69e-161
ALOX5AP	ENSG00000132965.9	47.629	160.240	-1.729	5.78e-76
ALPL	ENSG00000162551.13	27.751	94.851	-1.737	1.91e-24
ALPP	ENSG00000163283.6	0.290	3.600	-1.834	4.03e-73
ALS2CL	ENSG00000178038.16	9.950	49.179	-2.196	1.22e-120
AMACR	ENSG00000242110.7	14.630	4.420	1.528	2.90e-121
AMICA1	ENSG00000160593.17	14.180	44.139	-1.572	4.65e-94
AMOTL1	ENSG00000166025.17	4.520	15.640	-1.592	8.36e-128
AMOTL2	ENSG00000114019.14	17.710	38.369	-1.073	1.58e-50
AMPD2	ENSG00000116337.15	22.700	58.290	-1.323	1.13e-68
AMT	ENSG00000145020.14	7.620	31.769	-1.927	5.58e-91
AMY1C	ENSG00000187733.6	16.450	5.790	1.362	5.07e-21
AMY2B	ENSG00000240038.6	5.480	34.229	-2.443	7.44e-102
ANAPC2	ENSG00000176248.8	19.090	45.581	-1.213	8.10e-81
ANGPT1	ENSG00000154188.9	2.290	16.549	-2.415	1.49e-165
ANGPTL1	ENSG00000116194.12	0.730	10.050	-2.675	2.81e-239
ANKDD1A	ENSG00000166839.16	1.690	6.810	-1.538	1.88e-147
ANKEF1	ENSG00000132623.15	3.490	1.130	1.076	3.26e-107
ANKRD1	ENSG00000148677.6	0.570	23.860	-3.985	2.29e-157
ANKRD10	ENSG00000088448.14	46.131	100.991	-1.114	3.17e-64
ANKRD10-IT1	ENSG00000229152.2	4.300	12.890	-1.390	1.28e-65
ANKRD13D	ENSG00000172932.14	26.900	56.928	-1.054	5.51e-49
ANKRD20A17P	ENSG00000251056.1	0.140	1.650	-1.217	6.94e-130
ANKRD22	ENSG00000152766.5	10.220	1.240	2.325	2.80e-101
ANKRD29	ENSG00000154065.16	6.290	35.500	-2.324	5.90e-116
ANKRD36	ENSG00000135976.16	2.480	7.170	-1.231	1.02e-75
ANKRD36B	ENSG00000196912.12	2.300	6.180	-1.121	6.73e-62
ANKRD44	ENSG00000065413.16	5.020	13.070	-1.225	6.84e-97
ANKRD9	ENSG00000156381.8	5.520	12.930	-1.095	2.01e-52
ANKZF1	ENSG00000163516.13	24.490	54.940	-1.134	6.53e-49
ANLN	ENSG00000011426.10	10.160	1.090	2.417	2.33e-130
ANO2	ENSG00000047617.14	0.280	6.060	-2.464	1.33e-229
ANPEP	ENSG00000166825.13	9.030	50.139	-2.350	6.27e-84
ANXA3	ENSG00000138772.12	36.071	120.166	-1.709	2.81e-88
ANXA6	ENSG00000197043.13	60.938	143.797	-1.225	2.49e-97
ANXA8	ENSG00000265190.6	1.190	9.120	-2.208	6.91e-59
ANXA8L1	ENSG00000264230.7	1.160	15.670	-2.948	3.52e-117
AOAH	ENSG00000136250.11	6.720	15.450	-1.091	1.37e-67
AOC1	ENSG00000002726.19	3.980	0.230	2.017	4.42e-81
AOC2	ENSG00000131480.8	0.370	2.090	-1.173	1.10e-133
AOC3	ENSG00000131471.6	17.090	213.293	-3.566	7.88e-237
AOC4P	ENSG00000260105.6	0.200	3.460	-1.894	1.29e-173
AOX1	ENSG00000138356.13	1.630	18.989	-2.926	7.91e-163
AP000347.2	ENSG00000272578.5	1.170	3.710	-1.118	2.99e-79
AP000347.4	ENSG00000234353.2	1.650	4.530	-1.061	8.78e-39
AP000349.2	ENSG00000280178.1	5.830	0.070	2.674	6.11e-126
AP000442.1	ENSG00000255139.1	1.090	3.280	-1.034	1.83e-76
AP000580.1	ENSG00000219529.2	2.650	6.440	-1.027	1.58e-50
AP000892.6	ENSG00000280143.1	3.940	17.701	-1.920	1.21e-126
AP001062.8	ENSG00000241728.5	0.230	1.550	-1.052	8.53e-80
AP001189.4	ENSG00000236304.1	0.110	4.370	-2.274	7.16e-198
AP001631.9	ENSG00000236663.1	1.790	0.170	1.254	7.99e-76
AP003391.1	ENSG00000281272.1	10.490	0.000	3.522	2.79e-18
AP006621.5	ENSG00000255284.1	3.100	7.550	-1.060	1.12e-56
AP1M2	ENSG00000129354.11	62.270	20.310	1.570	4.23e-133
AP1S1	ENSG00000106367.13	64.879	25.221	1.329	5.96e-142
AP1S3	ENSG00000152056.16	6.780	2.530	1.140	5.46e-59
APBB1	ENSG00000166313.18	11.220	39.730	-1.737	8.06e-146
APBB2	ENSG00000163697.16	8.090	22.470	-1.368	2.88e-111
APBB3	ENSG00000113108.17	8.590	38.159	-2.030	5.48e-113
APCDD1	ENSG00000154856.12	6.690	17.620	-1.276	1.00e-56
APOA1	ENSG00000118137.9	0.170	1.970	-1.344	7.92e-97
APOA1BP	ENSG00000163382.11	134.503	56.712	1.231	4.84e-141
APOBEC3A	ENSG00000128383.12	1.130	13.650	-2.782	3.15e-159
APOBEC3B	ENSG00000179750.15	5.980	1.540	1.458	3.10e-64
APOBR	ENSG00000184730.10	4.930	12.880	-1.227	1.14e-62
APOC2	ENSG00000234906.8	7.690	2.040	1.515	1.66e-31
APOD	ENSG00000189058.8	26.330	105.353	-1.960	3.20e-37
APOL3	ENSG00000128284.19	18.400	59.601	-1.643	9.97e-113
APOLD1	ENSG00000178878.12	3.980	14.920	-1.677	2.74e-82
AQP1	ENSG00000240583.10	92.110	634.641	-2.771	1.88e-91
AQP3	ENSG00000165272.14	203.925	79.942	1.340	4.32e-27
AQP4	ENSG00000171885.13	9.880	35.779	-1.757	1.85e-45
AQP9	ENSG00000103569.9	3.560	17.800	-2.044	2.35e-119
ARAP1	ENSG00000186635.14	55.372	114.031	-1.029	4.08e-97
ARAP1-AS1	ENSG00000256007.1	7.850	1.550	1.795	5.84e-16
ARAP2	ENSG00000047365.11	4.440	11.560	-1.207	4.59e-102
ARAP3	ENSG00000120318.15	5.090	28.470	-2.275	2.16e-202
ARC	ENSG00000198576.3	0.270	3.930	-1.957	6.36e-139
ARG1	ENSG00000118520.13	0.050	3.460	-2.087	4.36e-140
ARGLU1	ENSG00000134884.13	42.250	245.111	-2.509	2.30e-151
ARHGAP10	ENSG00000071205.11	6.400	15.930	-1.194	1.39e-103
ARHGAP11A	ENSG00000198826.10	3.640	1.300	1.012	1.17e-63
ARHGAP21	ENSG00000107863.16	14.740	32.581	-1.093	1.79e-90
ARHGAP23	ENSG00000275832.4	10.650	26.900	-1.260	1.49e-87
ARHGAP24	ENSG00000138639.17	5.550	15.510	-1.334	1.59e-120
ARHGAP25	ENSG00000163219.11	8.970	20.120	-1.083	5.13e-88
ARHGAP27	ENSG00000159314.11	20.520	43.670	-1.054	6.06e-61
ARHGAP28	ENSG00000088756.12	1.330	4.090	-1.127	2.36e-84
ARHGAP29	ENSG00000137962.12	8.210	27.401	-1.625	5.86e-117
ARHGAP30	ENSG00000186517.13	9.910	23.501	-1.167	1.04e-79
ARHGAP31	ENSG00000031081.10	3.820	13.170	-1.556	1.80e-131
ARHGAP33	ENSG00000004777.18	3.640	10.200	-1.271	1.86e-41
ARHGAP4	ENSG00000089820.15	23.550	75.238	-1.635	6.83e-75
ARHGAP40	ENSG00000124143.10	3.460	0.490	1.582	3.75e-55
ARHGAP44	ENSG00000006740.16	5.730	12.980	-1.055	4.97e-59
ARHGAP6	ENSG00000047648.21	0.990	14.390	-2.951	3.91e-298
ARHGAP9	ENSG00000123329.17	13.450	53.079	-1.904	1.87e-112
ARHGEF1	ENSG00000076928.17	61.260	175.216	-1.501	3.51e-86
ARHGEF10	ENSG00000104728.15	7.670	32.901	-1.967	7.54e-169
ARHGEF15	ENSG00000198844.10	3.030	23.630	-2.612	1.88e-218
ARHGEF16	ENSG00000130762.14	15.760	5.830	1.295	3.16e-108
ARHGEF17	ENSG00000110237.3	13.780	57.531	-1.986	4.65e-139
ARHGEF19	ENSG00000142632.16	17.190	7.480	1.101	8.32e-70
ARHGEF2	ENSG00000116584.17	43.579	108.744	-1.300	9.16e-88
ARHGEF25	ENSG00000240771.6	5.570	22.520	-1.840	8.27e-128
ARHGEF26	ENSG00000114790.12	3.690	22.770	-2.341	8.00e-194
ARHGEF35	ENSG00000213214.4	11.120	3.710	1.364	3.40e-56
ARHGEF4	ENSG00000136002.16	2.380	6.320	-1.115	1.26e-35
ARHGEF40	ENSG00000165801.9	9.370	32.139	-1.676	1.67e-124
ARHGEF6	ENSG00000129675.15	5.320	17.030	-1.512	5.47e-139
ARHGEF7	ENSG00000102606.17	15.140	39.121	-1.314	1.02e-110
ARID3B	ENSG00000179361.17	3.460	8.350	-1.068	2.73e-88
ARID5A	ENSG00000196843.15	14.730	54.841	-1.828	1.92e-128
ARL6IP1	ENSG00000170540.14	124.309	56.480	1.124	5.13e-120
ARMCX1	ENSG00000126947.11	6.070	17.111	-1.357	3.10e-119
ARMCX4	ENSG00000196440.11	3.220	9.500	-1.315	4.25e-117
ARNTL	ENSG00000133794.17	6.820	23.860	-1.669	2.98e-126
ARNTL2	ENSG00000029153.14	5.120	1.570	1.252	3.52e-55
ARPC4-TTLL3	ENSG00000250151.9	4.850	16.130	-1.550	4.43e-103
ARRB2	ENSG00000141480.17	42.420	146.931	-1.768	1.93e-172
ARRDC2	ENSG00000105643.9	21.060	65.289	-1.587	2.24e-114
ARRDC4	ENSG00000140450.8	5.540	13.900	-1.188	6.64e-78
ARSD	ENSG00000006756.15	32.039	12.790	1.261	1.85e-67
ARSE	ENSG00000157399.14	10.740	1.210	2.409	1.68e-77
ART4	ENSG00000111339.10	0.320	1.750	-1.059	6.21e-98
ASAP1	ENSG00000153317.14	11.750	29.290	-1.248	2.40e-84
ASF1B	ENSG00000105011.8	10.290	1.640	2.096	7.04e-138
ASIC3	ENSG00000213199.7	1.180	5.490	-1.574	2.18e-66
ASMTL-AS1	ENSG00000236017.7	3.600	18.520	-2.085	7.69e-66
ASPA	ENSG00000108381.10	0.240	2.580	-1.530	1.75e-204
ASPG	ENSG00000166183.15	0.310	2.230	-1.302	4.09e-23
ASPHD1	ENSG00000174939.10	6.050	1.390	1.561	2.04e-65
ASPM	ENSG00000066279.16	3.310	0.380	1.643	1.74e-115
ASRGL1	ENSG00000162174.12	11.910	28.310	-1.183	2.62e-37
ASXL1	ENSG00000171456.16	21.201	49.500	-1.186	1.83e-88
ATF3	ENSG00000162772.16	21.080	84.208	-1.948	7.37e-54
ATG16L2	ENSG00000168010.10	11.710	81.492	-2.698	1.16e-140
ATG2B	ENSG00000066739.11	4.420	10.050	-1.028	6.70e-81
ATG4B	ENSG00000168397.16	32.710	71.120	-1.097	1.19e-75
ATHL1	ENSG00000142102.15	32.150	119.047	-1.857	1.88e-33
ATIC	ENSG00000138363.14	96.448	45.870	1.056	1.68e-105
ATN1	ENSG00000111676.14	51.388	113.417	-1.127	7.93e-86
ATOH8	ENSG00000168874.12	10.490	54.719	-2.278	1.33e-70
ATP10A	ENSG00000206190.11	3.360	8.260	-1.087	6.10e-46
ATP10D	ENSG00000145246.13	4.840	11.140	-1.056	4.20e-94
ATP13A4	ENSG00000127249.14	8.850	38.759	-2.013	4.61e-60
