Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
AC007326.1	ENSG00000279560.1	0.965	5.670	-1.763	1.05e-80
AC007405.6	ENSG00000239467.5	1.870	6.200	-1.327	3.29e-58
AC007566.10	ENSG00000244055.1	0.840	6.645	-2.055	1.22e-168
AC007743.1	ENSG00000233251.7	0.280	3.460	-1.801	1.01e-176
AC007879.7	ENSG00000229647.1	2.130	0.395	1.166	1.29e-81
AC007952.5	ENSG00000228157.4	0.210	1.810	-1.216	1.44e-128
AC008268.1	ENSG00000235584.2	0.020	4.380	-2.399	3.40e-126
AC009065.4	ENSG00000279473.1	1.805	0.000	1.488	2.13e-68
AC009120.6	ENSG00000259972.2	3.870	12.270	-1.446	2.48e-84
AC009264.1	ENSG00000234352.9	1.180	0.000	1.124	1.45e-92
AC009299.3	ENSG00000227403.1	4.455	1.395	1.188	1.69e-43
AC009950.2	ENSG00000225963.7	0.660	2.660	-1.141	1.64e-128
AC010168.1	ENSG00000281457.1	15.150	47.869	-1.597	2.39e-20
AC010894.3	ENSG00000226853.2	3.630	1.020	1.197	3.49e-126
AC010976.2	ENSG00000231731.7	0.820	2.925	-1.109	1.86e-93
AC015849.19	ENSG00000270871.1	0.330	1.845	-1.097	6.81e-109
AC016292.3	ENSG00000108958.4	3.160	0.695	1.295	8.36e-146
AC017104.6	ENSG00000224376.1	0.650	2.575	-1.115	2.77e-140
AC018766.4	ENSG00000267896.1	2.715	10.920	-1.682	2.45e-87
AC019117.2	ENSG00000236039.1	0.450	2.670	-1.340	2.90e-63
AC021066.1	ENSG00000281415.1	1.960	103.181	-5.137	6.36e-41
AC026471.6	ENSG00000260740.2	0.240	1.760	-1.154	1.80e-97
AC055736.1	ENSG00000280827.1	70.663	0.000	6.163	9.92e-57
AC055736.2	ENSG00000280966.1	3.825	0.000	2.271	2.20e-52
AC055736.3	ENSG00000281194.1	326.932	0.000	8.357	5.44e-67
AC058791.1	ENSG00000226380.7	0.200	1.430	-1.018	1.33e-85
AC068580.5	ENSG00000229512.1	0.000	2.345	-1.742	4.32e-105
AC068580.6	ENSG00000235027.1	0.630	4.860	-1.846	7.69e-133
AC068831.15	ENSG00000259661.1	4.640	18.375	-1.780	2.06e-73
AC068831.16	ENSG00000278514.1	1.035	0.000	1.025	4.20e-113
AC073850.6	ENSG00000229436.1	0.000	1.760	-1.465	1.01e-116
AC074286.1	ENSG00000213963.6	5.525	1.360	1.467	3.23e-54
AC074289.1	ENSG00000225889.7	2.960	7.860	-1.162	3.20e-26
AC079630.2	ENSG00000223914.1	0.140	1.815	-1.304	1.35e-55
AC079630.4	ENSG00000225342.2	0.530	7.440	-2.464	1.56e-121
AC079781.7	ENSG00000232032.1	0.000	1.425	-1.278	2.20e-47
AC083843.1	ENSG00000259820.1	0.675	3.960	-1.566	3.71e-130
AC083843.4	ENSG00000279518.1	0.200	1.825	-1.235	9.36e-116
AC090616.2	ENSG00000214708.4	0.150	3.295	-1.901	1.91e-129
AC093110.3	ENSG00000238018.2	0.505	12.930	-3.210	0.00e+0
AC093495.4	ENSG00000228242.6	1.235	8.670	-2.113	4.03e-205
AC093642.3	ENSG00000237940.3	0.365	1.735	-1.003	4.10e-52
AC093838.4	ENSG00000152117.17	6.605	15.555	-1.122	5.14e-50
AC093850.2	ENSG00000230838.1	2.145	0.130	1.477	2.04e-88
AC098973.2	ENSG00000225548.5	15.625	0.000	4.055	4.49e-171
AC104654.2	ENSG00000234362.5	0.235	1.560	-1.052	3.63e-97
AC108488.4	ENSG00000242282.6	2.240	7.000	-1.304	1.11e-109
AC109642.1	ENSG00000235997.2	0.300	4.175	-1.993	1.40e-166
AC114730.11	ENSG00000235351.1	0.385	2.185	-1.201	5.50e-91
AC116366.6	ENSG00000234290.2	0.320	3.220	-1.677	2.39e-199
AC130469.1	ENSG00000279396.1	0.120	1.245	-1.003	5.49e-153
AC132008.1	ENSG00000213519.2	0.000	1.175	-1.121	3.28e-104
AC132217.4	ENSG00000240801.1	4.255	11.545	-1.255	4.42e-10
AC137932.4	ENSG00000268218.1	0.410	1.885	-1.033	1.64e-128
AC137932.5	ENSG00000260279.2	0.140	1.310	-1.019	3.36e-122
AC137934.1	ENSG00000260923.5	1.325	4.630	-1.276	2.87e-40
AC138035.2	ENSG00000238035.8	3.960	18.845	-2.000	7.00e-91
AC144530.1	ENSG00000234742.1	2.435	0.370	1.326	7.85e-106
AC144831.1	ENSG00000261888.1	0.360	2.625	-1.414	2.38e-171
AC145124.2	ENSG00000255495.1	0.850	3.060	-1.134	1.74e-123
AC147651.4	ENSG00000237181.1	1.050	4.700	-1.475	1.22e-121
AC156455.1	ENSG00000256546.1	0.670	2.490	-1.063	3.14e-29
AC159540.1	ENSG00000230606.10	7.665	24.861	-1.577	6.63e-46
AC234582.1	ENSG00000279487.1	3.200	16.640	-2.070	1.10e-48
AC239868.2	ENSG00000280874.1	28.408	10.910	1.304	1.62e-12
AC239868.3	ENSG00000281134.1	28.408	10.965	1.297	1.71e-12
ACAA1	ENSG00000060971.17	33.531	75.008	-1.138	1.44e-136
ACAA2	ENSG00000167315.17	20.664	48.446	-1.191	4.46e-63
ACACB	ENSG00000076555.15	1.775	12.070	-2.236	9.61e-208
ACAD11	ENSG00000240303.7	6.675	19.755	-1.435	3.14e-80
ACAD8	ENSG00000151498.11	10.925	27.580	-1.261	7.05e-106
ACADL	ENSG00000115361.7	0.680	10.205	-2.738	7.02e-196
ACADVL	ENSG00000072778.19	177.441	675.774	-1.923	1.31e-123
ACAP1	ENSG00000072818.11	9.265	30.420	-1.614	2.26e-90
ACAP3	ENSG00000131584.18	15.860	48.301	-1.548	6.03e-62
ACBD4	ENSG00000181513.14	4.255	13.900	-1.504	1.42e-137
ACCS	ENSG00000110455.13	5.220	30.554	-2.343	7.38e-141
ACE	ENSG00000159640.14	10.530	40.651	-1.853	1.88e-111
ACHE	ENSG00000087085.13	0.910	3.280	-1.164	5.96e-50
ACKR1	ENSG00000213088.9	3.870	84.788	-4.139	4.89e-195
ACKR3	ENSG00000144476.5	77.799	22.465	1.748	3.79e-50
ACKR4	ENSG00000129048.6	0.735	4.650	-1.703	5.76e-161
ACOT7	ENSG00000097021.19	44.355	20.075	1.106	1.22e-96
ACOX2	ENSG00000168306.12	1.985	11.210	-2.032	2.03e-156
ACOXL	ENSG00000153093.18	0.405	4.310	-1.918	3.01e-138
ACP5	ENSG00000102575.10	71.505	161.355	-1.163	1.23e-40
ACR	ENSG00000100312.10	0.195	2.430	-1.521	5.96e-152
ACRBP	ENSG00000111644.7	1.430	5.975	-1.521	1.74e-114
ACRC	ENSG00000147174.11	0.430	2.750	-1.391	1.49e-134
ACSF2	ENSG00000167107.12	17.385	49.924	-1.470	5.32e-91
ACSL1	ENSG00000151726.13	35.035	156.437	-2.127	1.75e-156
ACSL5	ENSG00000197142.10	6.535	35.530	-2.277	1.36e-132
ACSM3	ENSG00000005187.11	2.635	9.820	-1.574	1.90e-59
ACSM5	ENSG00000183549.10	0.270	2.205	-1.335	4.81e-149
ACSS2	ENSG00000131069.19	25.365	70.041	-1.430	1.23e-131
ACSS3	ENSG00000111058.7	1.235	8.365	-2.067	6.22e-160
ACTA1	ENSG00000143632.14	0.090	4.430	-2.317	1.57e-143
ACTA2	ENSG00000107796.12	142.611	602.889	-2.072	3.84e-99
ACTA2-AS1	ENSG00000180139.11	0.630	9.640	-2.707	2.28e-160
ACTC1	ENSG00000159251.6	0.040	1.295	-1.142	2.05e-97
ACTG2	ENSG00000163017.13	8.320	89.940	-3.287	7.95e-154
ACTL6A	ENSG00000136518.16	101.824	24.450	2.014	2.66e-193
ACTN2	ENSG00000077522.12	0.150	5.915	-2.588	1.06e-217
ACTR3	ENSG00000115091.11	183.609	72.945	1.320	2.87e-122
ACVRL1	ENSG00000139567.12	6.590	106.458	-3.824	0.00e+0
ADAM12	ENSG00000148848.14	6.090	0.825	1.958	2.41e-97
ADAM23	ENSG00000114948.12	19.751	1.020	3.361	1.17e-86
ADAM33	ENSG00000149451.17	0.700	22.168	-3.769	2.85e-232
ADAM8	ENSG00000151651.15	8.920	21.444	-1.178	9.90e-34
ADAMDEC1	ENSG00000134028.14	5.810	0.650	2.045	6.56e-84
ADAMTS1	ENSG00000154734.14	11.540	85.585	-2.788	4.01e-146
ADAMTS10	ENSG00000142303.13	2.150	27.060	-3.155	8.81e-190
ADAMTS15	ENSG00000166106.3	0.800	6.365	-2.033	1.21e-105
ADAMTS2	ENSG00000087116.13	6.300	28.620	-2.021	1.42e-81
ADAMTS4	ENSG00000158859.9	3.100	15.110	-1.974	2.67e-63
ADAMTS7	ENSG00000136378.14	1.790	5.785	-1.282	2.36e-75
ADAMTS7P3	ENSG00000261143.1	0.040	18.170	-4.204	4.79e-269
ADAMTS8	ENSG00000134917.9	0.240	43.443	-5.164	0.00e+0
ADAMTS9	ENSG00000163638.13	2.360	21.400	-2.737	1.13e-168
ADAMTS9-AS1	ENSG00000241158.5	0.150	5.405	-2.478	1.10e-274
ADAMTS9-AS2	ENSG00000241684.5	0.100	2.310	-1.589	7.34e-223
ADAMTSL2	ENSG00000197859.9	2.405	21.615	-2.732	1.51e-215
ADAMTSL3	ENSG00000156218.12	0.510	7.570	-2.505	5.17e-210
ADAMTSL4	ENSG00000143382.13	5.640	71.149	-3.442	8.44e-235
ADAMTSL4-AS1	ENSG00000203804.4	0.265	1.740	-1.115	1.34e-174
ADARB1	ENSG00000197381.15	3.880	34.974	-2.882	3.04e-252
ADAT2	ENSG00000189007.15	3.595	9.710	-1.221	1.11e-76
ADCY10P1	ENSG00000161912.17	0.600	2.515	-1.135	2.41e-69
ADCY4	ENSG00000129467.13	2.115	59.190	-4.272	4.09e-313
ADCY5	ENSG00000173175.14	1.180	4.785	-1.408	5.67e-55
ADCY6	ENSG00000174233.11	6.305	26.015	-1.887	5.28e-168
ADCY7	ENSG00000121281.12	8.300	21.675	-1.286	4.92e-94
ADCY9	ENSG00000162104.9	4.720	14.460	-1.434	2.86e-139
ADD1	ENSG00000087274.16	63.875	178.576	-1.469	6.78e-154
ADGRA2	ENSG00000020181.17	4.805	14.870	-1.451	2.36e-95
ADGRB3	ENSG00000135298.13	0.070	1.515	-1.233	2.60e-184
ADGRD1	ENSG00000111452.12	1.275	43.115	-4.277	0.00e+0
ADGRE1	ENSG00000174837.14	0.405	1.975	-1.082	3.88e-57
ADGRE2	ENSG00000127507.17	2.645	6.580	-1.056	1.41e-52
ADGRE4P	ENSG00000268758.5	0.150	2.150	-1.454	9.07e-163
ADGRE5	ENSG00000123146.19	22.295	99.174	-2.104	2.37e-166
ADGRF4	ENSG00000153294.11	3.165	0.110	1.908	2.30e-118
ADGRF5	ENSG00000069122.18	4.910	91.325	-3.966	3.21e-292
ADGRG1	ENSG00000205336.11	84.062	40.084	1.050	3.73e-40
ADGRG3	ENSG00000182885.16	0.850	15.700	-3.174	2.49e-173
ADGRG6	ENSG00000112414.14	2.555	11.790	-1.847	7.37e-99
ADGRL2	ENSG00000117114.19	11.555	80.573	-2.700	7.10e-180
ADGRL4	ENSG00000162618.12	4.190	20.370	-2.042	2.96e-200
ADH1B	ENSG00000196616.12	2.235	365.898	-6.825	2.65e-311
ADH7	ENSG00000196344.11	29.494	0.100	4.793	3.68e-94
ADHFE1	ENSG00000147576.15	2.055	17.560	-2.603	4.41e-165
ADIRF	ENSG00000148671.13	46.104	228.721	-2.286	5.75e-104
ADIRF-AS1	ENSG00000272734.1	4.590	16.230	-1.624	4.04e-75
ADM2	ENSG00000128165.8	2.690	0.560	1.242	3.60e-78
ADM5	ENSG00000224420.3	0.900	3.175	-1.136	2.87e-63
ADORA2A	ENSG00000128271.19	3.255	11.100	-1.508	6.03e-128
ADORA2B	ENSG00000170425.3	8.550	2.830	1.318	1.99e-79
ADPRH	ENSG00000144843.11	4.105	10.780	-1.206	9.34e-111
ADRA1A	ENSG00000120907.17	0.010	4.010	-2.310	3.58e-239
ADRA1B	ENSG00000170214.3	0.140	3.095	-1.845	8.07e-151
ADRA1D	ENSG00000171873.7	0.120	2.090	-1.464	6.86e-114
ADRA2A	ENSG00000150594.6	0.810	2.910	-1.111	4.64e-56
ADRA2C	ENSG00000184160.7	1.110	3.395	-1.059	1.19e-26
ADRB1	ENSG00000043591.5	0.470	10.710	-2.994	1.39e-260
ADRB2	ENSG00000169252.5	1.105	8.875	-2.230	9.15e-190
AEBP1	ENSG00000106624.8	85.674	229.149	-1.409	7.13e-47
AF011889.2	ENSG00000238039.1	0.390	2.075	-1.146	1.59e-73
AF064858.8	ENSG00000235888.1	0.230	1.780	-1.176	1.13e-121
AF131215.2	ENSG00000255310.2	0.770	2.950	-1.158	8.87e-132
AF131215.9	ENSG00000269918.1	0.590	2.800	-1.257	2.75e-146
AFAP1L1	ENSG00000157510.13	2.900	16.595	-2.174	3.21e-209
AFF1	ENSG00000172493.20	7.510	21.105	-1.377	1.22e-132
AFF3	ENSG00000144218.18	0.310	6.995	-2.610	9.44e-269
AFG3L1P	ENSG00000223959.8	8.120	21.535	-1.305	1.65e-76
AGAP11	ENSG00000271880.1	0.240	4.140	-2.051	9.99e-196
AGAP3	ENSG00000133612.18	46.486	108.978	-1.212	1.85e-89
AGAP4	ENSG00000188234.13	4.440	13.545	-1.419	1.95e-85
AGAP5	ENSG00000172650.12	1.780	6.520	-1.436	4.87e-109
AGAP6	ENSG00000204149.9	5.455	22.229	-1.847	1.25e-110
AGAP9	ENSG00000204172.11	3.095	11.670	-1.629	2.30e-85
AGER	ENSG00000204305.13	6.945	718.601	-6.501	1.90e-273
AGO4	ENSG00000134698.10	6.160	14.365	-1.102	3.75e-99
AGPAT4	ENSG00000026652.13	2.065	7.095	-1.401	9.59e-111
AGR3	ENSG00000173467.8	10.170	51.674	-2.237	1.85e-59
AGRP	ENSG00000159723.4	0.060	1.925	-1.464	1.57e-171
AGT	ENSG00000135744.7	0.810	3.645	-1.360	2.86e-76
AGTPBP1	ENSG00000135049.15	4.805	14.245	-1.393	2.89e-170
AGTR1	ENSG00000144891.17	0.280	10.200	-3.129	2.30e-317
AGTR2	ENSG00000180772.6	0.140	1.435	-1.095	1.04e-26
AHCY	ENSG00000101444.12	156.150	49.275	1.644	2.64e-173
AHCYL2	ENSG00000158467.16	7.700	28.335	-1.754	2.30e-83
AHI1	ENSG00000135541.20	4.940	15.640	-1.486	1.92e-119
AHNAK	ENSG00000124942.13	67.923	158.171	-1.208	1.36e-71
AHNAK2	ENSG00000185567.6	34.710	4.805	2.621	3.67e-87
AHSA2	ENSG00000173209.22	19.515	79.349	-1.970	4.72e-67
AIF1	ENSG00000204472.12	41.091	89.012	-1.097	1.24e-54
AIF1L	ENSG00000126878.12	4.875	11.345	-1.071	1.43e-42
AIM1L	ENSG00000176092.13	6.035	1.445	1.525	9.63e-75
AIM2	ENSG00000163568.13	4.185	1.390	1.117	1.72e-42
AIMP2	ENSG00000106305.9	31.975	13.614	1.174	8.04e-102
AK1	ENSG00000106992.17	41.491	156.519	-1.890	2.92e-163
AK4	ENSG00000162433.14	22.465	1.980	2.977	1.31e-195
AK4P1	ENSG00000263535.1	4.385	0.485	1.858	1.92e-145
AKAP12	ENSG00000131016.16	3.090	32.436	-3.031	3.13e-196
AKAP13	ENSG00000170776.19	23.650	96.385	-1.982	4.68e-196
AKAP17A	ENSG00000197976.10	14.980	54.600	-1.799	9.00e-109
AKAP2	ENSG00000241978.9	8.955	68.379	-2.801	4.32e-206
AKAP8L	ENSG00000011243.17	31.806	86.638	-1.418	5.60e-88
AKAP9	ENSG00000127914.16	13.135	28.400	-1.057	1.98e-84
AKNA	ENSG00000106948.16	8.250	36.794	-2.031	1.27e-170
AKR1B10	ENSG00000198074.9	68.230	0.200	5.850	1.63e-134
AKR1B15	ENSG00000227471.8	2.415	0.020	1.743	7.22e-81
AKR1C1	ENSG00000187134.12	229.881	37.370	2.589	9.11e-45
AKR1C2	ENSG00000151632.16	369.325	22.255	3.993	2.20e-73
AKR1C3	ENSG00000196139.11	139.865	52.160	1.406	4.04e-15
AKT3	ENSG00000117020.16	4.280	16.435	-1.723	4.65e-86
AL157871.2	ENSG00000259052.1	0.000	1.405	-1.266	2.28e-48
AL158801.1	ENSG00000279392.1	7.180	0.570	2.381	5.08e-198
AL162151.3	ENSG00000234648.1	762.027	247.605	1.618	1.36e-9
AL442127.1	ENSG00000278371.2	0.000	8.855	-3.301	6.39e-52
AL589743.1	ENSG00000279508.1	2.765	0.610	1.226	1.08e-55
ALAS2	ENSG00000158578.18	0.050	1.400	-1.193	7.64e-100
ALB	ENSG00000163631.16	0.180	1.620	-1.151	1.24e-45
ALDH18A1	ENSG00000059573.8	35.305	12.545	1.422	2.67e-171
ALDH1A2	ENSG00000128918.14	1.090	6.730	-1.887	5.60e-137
ALDH2	ENSG00000111275.12	68.823	230.671	-1.730	1.74e-106
ALDH3A1	ENSG00000108602.17	53.434	2.825	3.831	2.96e-65
ALDH3B1	ENSG00000006534.15	5.025	50.744	-3.102	1.45e-188
ALDH3B2	ENSG00000132746.14	18.775	0.410	3.810	2.13e-215
ALDOA	ENSG00000149925.16	1871.785	818.505	1.192	2.21e-99
ALDOC	ENSG00000109107.13	47.140	14.315	1.652	7.20e-80
ALG10	ENSG00000139133.6	4.205	1.420	1.105	3.28e-136
ALG1L	ENSG00000189366.9	28.300	0.540	4.250	4.03e-251
ALG3	ENSG00000214160.9	97.005	28.709	1.722	1.46e-145
ALOX12P2	ENSG00000262943.7	3.890	1.335	1.066	2.14e-46
ALOX15B	ENSG00000179593.15	2.945	31.850	-3.058	1.48e-58
ALOX5	ENSG00000012779.10	11.530	148.713	-3.579	1.79e-227
ALOX5AP	ENSG00000132965.9	25.664	160.035	-2.594	1.69e-143
ALPK1	ENSG00000073331.17	5.875	14.140	-1.139	1.42e-110
ALPK3	ENSG00000136383.6	0.750	5.695	-1.936	3.89e-171
ALPL	ENSG00000162551.13	14.295	96.753	-2.676	3.59e-69
ALPP	ENSG00000163283.6	0.080	3.400	-2.026	1.47e-125
ALS2CL	ENSG00000178038.16	7.700	49.566	-2.539	1.01e-144
ALS2CR12	ENSG00000155749.12	0.240	1.515	-1.020	1.31e-133
ALYREF	ENSG00000183684.7	110.560	44.449	1.296	1.71e-133
AMACR	ENSG00000242110.7	11.755	4.270	1.275	1.56e-92
AMDHD2	ENSG00000162066.14	11.940	26.105	-1.067	2.77e-47
AMICA1	ENSG00000160593.17	6.760	43.931	-2.534	2.44e-168
AMIGO2	ENSG00000139211.6	7.295	15.745	-1.013	5.43e-25
AMOTL2	ENSG00000114019.14	12.945	38.349	-1.497	1.52e-84
AMPD2	ENSG00000116337.15	24.905	60.454	-1.246	1.73e-73
AMT	ENSG00000145020.14	4.075	32.175	-2.709	3.06e-163
AMTN	ENSG00000187689.9	1.245	0.060	1.083	9.10e-40
AMY2B	ENSG00000240038.6	2.010	34.724	-3.569	8.72e-216
ANAPC2	ENSG00000176248.8	17.850	45.839	-1.313	3.33e-88
ANG	ENSG00000214274.9	6.130	22.645	-1.730	5.55e-150
ANGPT1	ENSG00000154188.9	1.555	16.590	-2.783	2.00e-206
ANGPTL1	ENSG00000116194.12	0.390	10.720	-3.076	6.43e-288
ANK2	ENSG00000145362.16	1.200	5.750	-1.617	3.13e-113
ANKDD1A	ENSG00000166839.16	2.040	7.020	-1.399	3.41e-120
ANKEF1	ENSG00000132623.15	4.060	1.100	1.269	9.94e-134
ANKH	ENSG00000154122.12	39.690	18.750	1.043	5.67e-43
ANKHD1-EIF4EBP3	ENSG00000254996.5	6.765	15.420	-1.080	3.21e-117
ANKRD1	ENSG00000148677.6	0.280	23.195	-4.240	1.39e-186
ANKRD10	ENSG00000088448.14	32.450	102.490	-1.629	2.11e-115
ANKRD10-IT1	ENSG00000229152.2	2.535	13.190	-2.005	2.51e-118
ANKRD13A	ENSG00000076513.16	17.655	36.370	-1.002	1.36e-114
ANKRD13D	ENSG00000172932.14	28.320	57.721	-1.002	1.83e-48
ANKRD18B	ENSG00000230453.9	1.830	0.055	1.424	3.62e-108
ANKRD20A17P	ENSG00000251056.1	0.150	1.645	-1.202	2.36e-124
ANKRD22	ENSG00000152766.5	9.525	1.225	2.242	1.16e-134
ANKRD29	ENSG00000154065.16	6.675	34.054	-2.191	4.05e-122
ANKRD36	ENSG00000135976.16	2.500	7.310	-1.247	2.60e-68
ANKRD36B	ENSG00000196912.12	1.990	6.235	-1.275	4.19e-72
ANKRD44	ENSG00000065413.16	2.870	13.135	-1.869	3.09e-192
ANKRD9	ENSG00000156381.8	5.140	13.125	-1.202	6.99e-61
ANKS1A	ENSG00000064999.13	8.715	20.070	-1.117	6.48e-109
ANKZF1	ENSG00000163516.13	22.455	55.629	-1.272	8.85e-59
ANLN	ENSG00000011426.10	19.950	1.045	3.357	8.46e-284
ANO2	ENSG00000047617.14	0.400	6.105	-2.343	1.42e-211
ANO6	ENSG00000177119.15	15.060	31.965	-1.037	9.38e-87
ANO8	ENSG00000074855.10	2.940	8.125	-1.212	2.88e-90
ANPEP	ENSG00000166825.13	7.180	51.976	-2.695	7.68e-170
ANTXR2	ENSG00000163297.16	11.825	32.214	-1.373	3.04e-92
ANXA2P2	ENSG00000231991.4	30.120	11.160	1.356	1.27e-80
ANXA3	ENSG00000138772.12	21.065	116.937	-2.418	3.95e-131
ANXA5	ENSG00000164111.14	183.736	398.130	-1.111	4.52e-92
ANXA6	ENSG00000197043.13	37.484	146.966	-1.943	2.21e-140
ANXA8	ENSG00000265190.6	71.550	9.200	2.830	2.63e-69
ANXA8L1	ENSG00000264230.7	39.868	15.640	1.296	9.15e-18
AOAH	ENSG00000136250.11	6.850	15.685	-1.088	1.64e-36
AOC2	ENSG00000131480.8	0.420	2.125	-1.138	4.64e-116
AOC3	ENSG00000131471.6	7.450	214.375	-4.672	1.39e-305
AOC4P	ENSG00000260105.6	0.100	3.585	-2.059	9.28e-208
AOX1	ENSG00000138356.13	0.945	20.490	-3.466	3.15e-256
AP000254.8	ENSG00000273271.1	1.975	5.885	-1.211	6.14e-118
AP000347.2	ENSG00000272578.5	0.955	3.745	-1.279	6.66e-101
AP000347.4	ENSG00000234353.2	1.305	4.590	-1.278	3.46e-69
AP000349.2	ENSG00000280178.1	7.570	0.060	3.015	4.83e-148
AP000442.1	ENSG00000255139.1	1.060	3.475	-1.119	9.30e-74
AP000892.6	ENSG00000280143.1	3.020	17.850	-2.229	2.21e-164
AP001062.7	ENSG00000184441.4	0.885	3.120	-1.128	1.39e-108
AP001062.8	ENSG00000241728.5	0.190	1.630	-1.144	7.29e-96
AP001189.4	ENSG00000236304.1	0.070	4.545	-2.374	8.61e-222
AP003391.1	ENSG00000281272.1	23.413	0.000	4.610	6.79e-48
AP1G2	ENSG00000213983.11	44.800	102.547	-1.177	7.12e-50
AP1S1	ENSG00000106367.13	66.546	24.560	1.402	4.97e-146
AP2A2	ENSG00000183020.13	26.395	63.835	-1.243	2.17e-132
